capacity reduction south checkoutservice 200m

west_rps,east_rps,central_rps,south_rps,request_type,duration,total_rps
505,600,580,750,checkoutcart,60,290
548,841,1506,614,checkoutcart,300,3412

west_rps,east_rps,central_rps,south_rps,request_type,duration,total_rps
505,600,580,750,checkoutcart,60,290
548,841,1506,1114,checkoutcart,600,3412


west_rps,east_rps,central_rps,south_rps,request_type,duration,total_rps
502,468,555,644,checkoutcart,120,2169
48,506,954,1614,checkoutcart,300,2922
1812,966,310,446,checkoutcart,300,3534


west_rps,east_rps,central_rps,south_rps,request_type,duration,total_rps
502,468,555,644,checkoutcart,300,2169
48,506,954,1614,checkoutcart,300,2922
1812,966,310,446,checkoutcart,300,3534
1168,442,1398,938,checkoutcart,300,2746
464,1178,1826,598,checkoutcart,300,3266
868,1842,834,1698,checkoutcart,300,2942
324,1306,962,1106,checkoutcart,300,2698


west_rps,east_rps,central_rps,south_rps,request_type,duration,total_rps
402,256,102,780,checkoutcart,300,1540
950,1036,356,798,checkoutcart,300,3140
780,756,84,200,checkoutcart,300,1820
1424,402,132,950,checkoutcart,300,2908
1206,768,306,2340,checkoutcart,300,4620
1574,1716,590,1322,checkoutcart,300,5202
594,1302,1434,822,checkoutcart,300,4152
1698,822,3108,420,checkoutcart,300,6048
1794,594,1332,768,checkoutcart,300,4488
2340,2268,252,600,checkoutcart,300,5460
612,1353,1807,2476,checkoutcart,300,6248
1518,1518,822,72,checkoutcart,300,3930
384,1332,384,2268,checkoutcart,300,4368
252,1320,1794,252,checkoutcart,300,3618
2750,776,255,1835,checkoutcart,300,5616
1302,420,1320,252,checkoutcart,300,3294
1332,252,2850,396,checkoutcart,300,4830


