us-east-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,00fe690b10386fda9cb4e44a5757d64d,ba08309a92b83eb0,e9ca143bab246ca6,1725229156069,1725229156069,0,0,0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:131|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct
us-east-1,cartservice,POST,/hipstershop.CartService/AddItem,00fe690b10386fda9cb4e44a5757d64d,625406f0be8b8257,e9ca143bab246ca6,1725229156071,1725229156073,2,0,0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:132|,cartservice@POST@/hipstershop.CartService/AddItem
us-east-1,frontend,POST,/cart,00fe690b10386fda9cb4e44a5757d64d,e9ca143bab246ca6,9cb4e44a5757d64d,1725229156068,1725229156074,6,0,0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:131|,frontend@POST@/cart
us-east-1,sslateingress,POST,/cart,00fe690b10386fda9cb4e44a5757d64d,9cb4e44a5757d64d,,1725229156067,1725229156074,7,0,0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:131|,sslateingress@POST@/cart
us-east-1,sslateingress,POST,/cart,0102afebfd9da67c3a268c8c0b6feba2,3a268c8c0b6feba2,,1725229178549,1725229178591,42,0,0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:124|,sslateingress@POST@/cart
us-east-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,0102afebfd9da67c3a268c8c0b6feba2,93ab99c58242a800,0c36b430cfda3dbc,1725229178582,1725229178583,1,0,0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:121|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct
us-east-1,cartservice,POST,/hipstershop.CartService/AddItem,0102afebfd9da67c3a268c8c0b6feba2,900127836b44a689,0c36b430cfda3dbc,1725229178586,1725229178588,2,0,0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:121|,cartservice@POST@/hipstershop.CartService/AddItem
us-east-1,frontend,POST,/cart,0102afebfd9da67c3a268c8c0b6feba2,0c36b430cfda3dbc,3a268c8c0b6feba2,1725229178550,1725229178589,39,0,0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:124|,frontend@POST@/cart
us-east-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,0167872644431d22232e8317e6f7215d,bba502b996d62441,e26c94b98f87a60e,1725228651039,1725228651039,0,0,0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:37|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct
us-east-1,cartservice,POST,/hipstershop.CartService/AddItem,0167872644431d22232e8317e6f7215d,3ba2c799051f6ebe,e26c94b98f87a60e,1725228651040,1725228651042,2,0,0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:37|,cartservice@POST@/hipstershop.CartService/AddItem
